"customer_id","first_name","last_name","first_purchase_date","product_id","name","price"
4588,Cristina,Xu,1992-09-21,26,Flat Washer 4,0.0000
4588,Cristina,Xu,1992-09-21,26,Flat Washer 4,0.0000
4588,Cristina,Xu,1992-09-21,26,Flat Washer 4,0.0000
4588,Cristina,Xu,1992-09-21,26,Flat Washer 4,0.0000
4588,Cristina,Xu,1992-09-21,26,Flat Washer 4,0.0000
4588,Cristina,Xu,1992-09-21,26,Flat Washer 4,0.0000
4588,Cristina,Xu,1992-09-21,26,Flat Washer 4,0.0000
4588,Cristina,Xu,1992-09-21,26,Flat Washer 4,0.0000
4588,Cristina,Xu,1992-09-21,26,Flat Washer 4,0.0000
4588,Cristina,Xu,1992-09-21,26,Flat Washer 4,0.0000
4588,Cristina,Xu,1992-09-21,26,Flat Washer 4,0.0000
4588,Cristina,Xu,1992-09-21,26,Flat Washer 4,0.0000
4588,Cristina,Xu,1992-09-21,26,Flat Washer 4,0.0000
8557,Jacob,Martinez,1992-09-21,153,Lock Washer 3,0.0000
8557,Jacob,Martinez,1992-09-21,153,Lock Washer 3,0.0000
8557,Jacob,Martinez,1992-09-21,153,Lock Washer 3,0.0000
8557,Jacob,Martinez,1992-09-21,153,Lock Washer 3,0.0000
8557,Jacob,Martinez,1992-09-21,153,Lock Washer 3,0.0000
8557,Jacob,Martinez,1992-09-21,153,Lock Washer 3,0.0000
8557,Jacob,Martinez,1992-09-21,153,Lock Washer 3,0.0000
8557,Jacob,Martinez,1992-09-21,153,Lock Washer 3,0.0000
8557,Jacob,Martinez,1992-09-21,153,Lock Washer 3,0.0000
10845,Kaitlyn,Allen,1992-09-21,90,External Lock Washer 2,0.0000
10845,Kaitlyn,Allen,1992-09-21,90,External Lock Washer 2,0.0000
10845,Kaitlyn,Allen,1992-09-21,90,External Lock Washer 2,0.0000
10845,Kaitlyn,Allen,1992-09-21,90,External Lock Washer 2,0.0000
10845,Kaitlyn,Allen,1992-09-21,90,External Lock Washer 2,0.0000
10845,Kaitlyn,Allen,1992-09-21,90,External Lock Washer 2,0.0000
10845,Kaitlyn,Allen,1992-09-21,90,External Lock Washer 2,0.0000
10845,Kaitlyn,Allen,1992-09-21,90,External Lock Washer 2,0.0000
10845,Kaitlyn,Allen,1992-09-21,90,External Lock Washer 2,0.0000
10845,Kaitlyn,Allen,1992-09-21,90,External Lock Washer 2,0.0000
10845,Kaitlyn,Allen,1992-09-21,90,External Lock Washer 2,0.0000
10845,Kaitlyn,Allen,1992-09-21,90,External Lock Washer 2,0.0000
